cos0=1 cos1=0.9998476951563913 cos2=0.9993908270190958 cos3=0.9986295347545738 
cos4=0.9975640502598242 cos5=0.9961946980917455 cos6=0.9945218953682733 
cos7=0.992546151641322 cos8=0.9902680687415704 cos9=0.9876883405951378 
cos10=0.984807753012208 cos11=0.981627183447664 cos12=0.9781476007338057 
cos13=0.9743700647852352 cos14=0.9702957262759965 cos15=0.9659258262890683 
cos16=0.9612616959383189 cos17=0.9563047559630355 cos18=0.9510565162951535 
cos19=0.9455185755993168 cos20=0.9396926207859084 cos21=0.9335804264972017 
cos22=0.9271838545667874 cos23=0.9205048534524404 cos24=0.9135454576426009 
cos25=0.9063077870366499 cos26=0.898794046299167 cos27=0.8910065241883679 
cos28=0.882947592858927 cos29=0.8746197071393957 cos30=0.8660254037844387 
cos31=0.8571673007021123 cos32=0.848048096156426 cos33=0.838670567945424 
cos34=0.8290375725550417 cos35=0.8191520442889918 cos36=0.8090169943749474 
cos37=0.7986355100472928 cos38=0.7880107536067219 cos39=0.7771459614569709 
cos40=0.766044443118978 cos41=0.754709580222772 cos42=0.7431448254773942 
cos43=0.7313537016191705 cos44=0.7193398003386512 cos45=0.7071067811865476 
cos46=0.6946583704589974 cos47=0.6819983600624985 cos48=0.6691306063588582 
cos49=0.6560590289905074 cos50=0.6427876096865394 cos51=0.6293203910498375 
cos52=0.6156614753256583 cos53=0.6018150231520484 cos54=0.5877852522924731 
cos55=0.5735764363510462 cos56=0.5591929034707468 cos57=0.5446390350150272 
cos58=0.5299192642332049 cos59=0.5150380749100544 cos60=0.5000000000000001 
cos61=0.4848096202463371 cos62=0.46947156278589086 cos63=0.4539904997395468 
cos64=0.43837114678907746 cos65=0.42261826174069944 cos66=0.4067366430758004 
cos67=0.3907311284892737 cos68=0.3746065934159122 cos69=0.35836794954530015 
cos70=0.3420201433256688 cos71=0.32556815445715675 cos72=0.30901699437494745 
cos73=0.29237170472273677 cos74=0.27563735581699916 cos75=0.25881904510252074 
cos76=0.24192189559966767 cos77=0.22495105434386514 cos78=0.20791169081775923 
cos79=0.19080899537654491 cos80=0.17364817766693041 cos81=0.15643446504023092 
cos82=0.13917310096006546 cos83=0.12186934340514749 cos84=0.10452846326765346 
cos85=0.08715574274765836 cos86=0.06975647374412523 cos87=0.052335956242943966 
cos88=0.03489949670250108 cos89=0.0174524064372836 
cos90=0 
